Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Latency (ms),Slice Bandwidth (Mbps)
TXN9520068950,ACC14994,ACC16656,495.9,Deposit,17/01/2025 10:14,Failed,True,34.0522 N, -74.006 W,Desktop,10,179
TXN9412011085,ACC58958,ACC32826,529.62,Withdrawal,17/01/2025 10:51,Success,False,35.6895 N, -118.2437 W,Mobile,11,89
TXN4407425052,ACC56321,ACC92481,862.47,Withdrawal,17/01/2025 10:50,Failed,False,48.8566 N, 2.3522 W,Mobile,4,53
TXN2214150284,ACC48650,ACC76457,1129.88,Transfer,17/01/2025 10:56,Success,True,34.0522 N, -74.006 W,Mobile,10,127
TXN4247571145,ACC60921,ACC11419,933.24,Deposit,17/01/2025 10:25,Success,True,55.7558 N, 37.6173 W,Mobile,20,191
TXN2515439857,ACC18381,ACC76710,449.56,Withdrawal,17/01/2025 10:01,Failed,False,35.6895 N, 139.6917 W,Desktop,14,191
TXN2169752734,ACC43792,ACC51105,72.97,Withdrawal,17/01/2025 10:25,Success,True,55.7558 N, 2.3522 W,Mobile,5,216
TXN3109277527,ACC48227,ACC93536,1135.8,Deposit,17/01/2025 10:56,Failed,True,48.8566 N, -118.2437 W,Mobile,11,69
TXN4541918858,ACC10284,ACC24018,1154.59,Withdrawal,17/01/2025 10:38,Success,False,40.7128 N, -118.2437 W,Mobile,6,151
TXN4229370499,ACC11531,ACC53580,683.48,Transfer,17/01/2025 10:55,Success,True,34.0522 N, 2.3522 W,Mobile,19,213
TXN6355066290,ACC14006,ACC27800,485.37,Transfer,17/01/2025 10:50,Failed,True,34.0522 N, 37.6173 W,Mobile,20,173
TXN2166128709,ACC11156,ACC57086,1356.77,Deposit,17/01/2025 10:06,Failed,False,40.7128 N, 2.3522 W,Desktop,18,179
TXN8655304785,ACC62917,ACC77317,385.43,Deposit,17/01/2025 10:58,Success,False,55.7558 N, -74.006 W,Desktop,17,181
TXN5194651812,ACC39081,ACC11992,394.76,Deposit,17/01/2025 10:13,Failed,False,34.0522 N, -118.2437 W,Desktop,16,146
TXN9153984217,ACC34065,ACC67993,620.34,Deposit,17/01/2025 10:37,Failed,False,55.7558 N, 2.3522 W,Desktop,7,215
TXN9743166792,ACC82066,ACC33985,579.65,Transfer,17/01/2025 10:17,Failed,False,51.5074 N, 0.1278 W,Mobile,14,246
TXN6682052855,ACC68764,ACC53807,1171.23,Transfer,17/01/2025 10:29,Success,False,34.0522 N, -74.006 W,Mobile,13,88
TXN4351744832,ACC55704,ACC24911,817.55,Deposit,17/01/2025 10:13,Failed,False,40.7128 N, 2.3522 W,Mobile,8,82
TXN5897093700,ACC70859,ACC83767,113.95,Deposit,17/01/2025 10:25,Success,False,48.8566 N, -74.006 W,Mobile,18,141
TXN5863399870,ACC73740,ACC39244,906.82,Transfer,17/01/2025 10:57,Failed,False,34.0522 N, 2.3522 W,Mobile,3,205
TXN3008400720,ACC96801,ACC67913,402.18,Withdrawal,17/01/2025 10:07,Failed,False,35.6895 N, 0.1278 W,Mobile,18,169
TXN8954205071,ACC49428,ACC33014,154.78,Transfer,17/01/2025 10:41,Success,True,48.8566 N, 37.6173 W,Mobile,7,68
TXN8076969401,ACC81687,ACC75202,762.55,Deposit,17/01/2025 10:34,Success,False,48.8566 N, 2.3522 W,Desktop,15,207
TXN5541586171,ACC72546,ACC73085,1196.23,Withdrawal,17/01/2025 10:48,Failed,False,48.8566 N, -74.006 W,Mobile,4,72
TXN2415439100,ACC92329,ACC71125,1414.14,Transfer,17/01/2025 10:30,Failed,False,55.7558 N, 37.6173 W,Mobile,4,52
TXN4822238918,ACC27604,ACC93416,276.76,Withdrawal,17/01/2025 10:54,Failed,True,55.7558 N, 2.3522 W,Mobile,14,101
TXN3884612815,ACC79800,ACC11375,1453.39,Withdrawal,17/01/2025 10:12,Failed,False,40.7128 N, -74.006 W,Mobile,13,151
TXN5126223597,ACC49116,ACC36754,826.75,Withdrawal,17/01/2025 10:18,Failed,True,40.7128 N, 2.3522 W,Desktop,15,232
TXN7417651729,ACC26106,ACC21043,1371.8,Transfer,17/01/2025 10:09,Failed,True,35.6895 N, 37.6173 W,Mobile,8,61
TXN7538176865,ACC40510,ACC11454,604.25,Transfer,17/01/2025 10:56,Failed,True,55.7558 N, 37.6173 W,Mobile,5,129
TXN3914566506,ACC45926,ACC76590,979.89,Withdrawal,17/01/2025 10:25,Failed,False,40.7128 N, 2.3522 W,Mobile,15,225
TXN6302601632,ACC91042,ACC98945,129.78,Transfer,17/01/2025 10:11,Success,True,51.5074 N, -118.2437 W,Desktop,19,106
TXN2088036535,ACC66635,ACC27770,884.55,Transfer,17/01/2025 10:04,Failed,True,51.5074 N, 37.6173 W,Mobile,14,228
TXN1675844695,ACC32328,ACC14535,250.27,Transfer,17/01/2025 10:58,Failed,False,40.7128 N, 37.6173 W,Mobile,7,109
TXN6661143500,ACC94124,ACC34396,1227.89,Transfer,17/01/2025 10:29,Success,False,34.0522 N, 2.3522 W,Desktop,7,70
TXN3325189406,ACC51150,ACC42784,743.4,Transfer,17/01/2025 10:37,Failed,False,51.5074 N, -74.006 W,Desktop,11,222
TXN6805586313,ACC13179,ACC18973,852.42,Withdrawal,17/01/2025 10:41,Failed,False,34.0522 N, 2.3522 W,Mobile,5,250
TXN2113838138,ACC59845,ACC47976,92.6,Withdrawal,17/01/2025 10:49,Success,False,55.7558 N, 37.6173 W,Desktop,7,122
TXN2956253396,ACC98407,ACC76557,499.18,Withdrawal,17/01/2025 10:31,Success,True,55.7558 N, -74.006 W,Mobile,19,231
TXN9549826715,ACC39544,ACC52922,910.24,Withdrawal,17/01/2025 10:11,Success,False,35.6895 N, 139.6917 W,Mobile,15,243
TXN7131992962,ACC25089,ACC78786,992.8,Withdrawal,17/01/2025 10:43,Failed,True,34.0522 N, 139.6917 W,Desktop,11,139
TXN2209185137,ACC97614,ACC48951,793.95,Deposit,17/01/2025 10:55,Success,False,48.8566 N, 2.3522 W,Mobile,8,229
TXN2465139688,ACC21498,ACC64106,1483.75,Transfer,17/01/2025 10:03,Success,False,55.7558 N, 0.1278 W,Desktop,11,82
TXN4231576514,ACC33069,ACC45185,944.51,Withdrawal,17/01/2025 10:53,Failed,True,34.0522 N, 0.1278 W,Desktop,18,228
TXN6050985831,ACC90300,ACC78072,1093.14,Withdrawal,17/01/2025 10:05,Failed,False,35.6895 N, -118.2437 W,Desktop,10,224
TXN6614511449,ACC14564,ACC10609,326.66,Withdrawal,17/01/2025 10:41,Success,True,34.0522 N, -74.006 W,Mobile,3,161
TXN1408798870,ACC88133,ACC15217,819.69,Transfer,17/01/2025 10:37,Failed,False,48.8566 N, 2.3522 W,Mobile,20,135
TXN2483635578,ACC33701,ACC13238,436.83,Withdrawal,17/01/2025 10:36,Failed,False,35.6895 N, 37.6173 W,Mobile,7,99
TXN4437479248,ACC45830,ACC66726,480.29,Withdrawal,17/01/2025 10:32,Failed,True,51.5074 N, -118.2437 W,Mobile,7,84
TXN1414294833,ACC24121,ACC36934,681.23,Deposit,17/01/2025 10:03,Success,False,48.8566 N, -74.006 W,Desktop,14,63
TXN3244921303,ACC69633,ACC88988,434.31,Withdrawal,17/01/2025 10:56,Failed,True,51.5074 N, -74.006 W,Mobile,18,67
TXN4585920895,ACC47679,ACC51725,196.41,Deposit,17/01/2025 10:04,Failed,False,34.0522 N, -74.006 W,Desktop,12,99
TXN3085164852,ACC74608,ACC33619,144.1,Transfer,17/01/2025 10:49,Failed,False,35.6895 N, -74.006 W,Desktop,15,52
TXN4215761542,ACC49303,ACC99378,313.72,Deposit,17/01/2025 10:32,Failed,True,48.8566 N, 139.6917 W,Desktop,19,55
TXN2921000330,ACC74920,ACC58633,209.97,Withdrawal,17/01/2025 10:33,Success,False,55.7558 N, 0.1278 W,Mobile,10,94
TXN1245169622,ACC91787,ACC54608,879.63,Withdrawal,17/01/2025 10:14,Success,True,34.0522 N, 2.3522 W,Desktop,17,240
TXN3864456208,ACC52721,ACC22595,906.98,Withdrawal,17/01/2025 10:58,Failed,True,35.6895 N, 0.1278 W,Mobile,10,102
TXN2157994961,ACC60872,ACC56165,1017.3,Deposit,17/01/2025 10:52,Failed,True,35.6895 N, 139.6917 W,Mobile,11,100
TXN3293165874,ACC43244,ACC67743,972.39,Withdrawal,17/01/2025 10:44,Success,True,34.0522 N, -118.2437 W,Desktop,17,159
TXN2467998038,ACC92520,ACC54323,1436.77,Withdrawal,17/01/2025 11:00,Failed,False,48.8566 N, -118.2437 W,Mobile,16,192
TXN4014434434,ACC50922,ACC98669,1094.34,Transfer,17/01/2025 10:55,Failed,False,51.5074 N, -118.2437 W,Mobile,4,102
TXN5548725719,ACC49858,ACC26440,1235.27,Deposit,17/01/2025 10:31,Success,False,48.8566 N, 2.3522 W,Mobile,9,237
TXN8905996384,ACC15856,ACC12045,737.12,Deposit,17/01/2025 10:46,Success,False,55.7558 N, -74.006 W,Desktop,20,190
TXN6478721697,ACC74483,ACC16913,524.38,Deposit,17/01/2025 10:38,Success,True,35.6895 N, -74.006 W,Mobile,18,203
TXN4336351484,ACC80523,ACC75671,940.3,Deposit,17/01/2025 10:55,Success,True,35.6895 N, 2.3522 W,Mobile,6,214
TXN5262577229,ACC23680,ACC21510,339.18,Deposit,17/01/2025 10:19,Failed,False,55.7558 N, 2.3522 W,Desktop,20,123
TXN9214993999,ACC59081,ACC63217,713.85,Withdrawal,17/01/2025 10:38,Success,True,48.8566 N, 37.6173 W,Desktop,12,127
TXN6819290771,ACC89817,ACC51611,1069.09,Withdrawal,17/01/2025 10:24,Failed,True,48.8566 N, 139.6917 W,Mobile,6,249
TXN6762754838,ACC88574,ACC43420,311.12,Withdrawal,17/01/2025 10:32,Success,False,55.7558 N, 37.6173 W,Desktop,17,225
TXN6621010350,ACC62557,ACC33681,1393.36,Transfer,17/01/2025 10:10,Success,False,48.8566 N, 0.1278 W,Desktop,8,232
TXN2716831379,ACC36992,ACC58355,412.43,Transfer,17/01/2025 10:18,Success,False,55.7558 N, 2.3522 W,Mobile,8,239
TXN4412754237,ACC52000,ACC38394,1246.4,Transfer,17/01/2025 10:55,Success,False,34.0522 N, 139.6917 W,Desktop,9,132
TXN9958195472,ACC73496,ACC80439,713.43,Withdrawal,17/01/2025 10:48,Failed,True,51.5074 N, 0.1278 W,Desktop,20,243
TXN6513452870,ACC66844,ACC30757,497.06,Deposit,17/01/2025 10:25,Failed,True,40.7128 N, -118.2437 W,Desktop,20,113
TXN9430193570,ACC18315,ACC68473,480.26,Deposit,17/01/2025 10:13,Failed,True,40.7128 N, -118.2437 W,Mobile,16,201
TXN6154853073,ACC37651,ACC65346,1446.89,Withdrawal,17/01/2025 10:15,Failed,True,55.7558 N, -118.2437 W,Mobile,15,83
TXN8166922226,ACC26967,ACC15608,72.36,Withdrawal,17/01/2025 10:19,Failed,False,55.7558 N, 0.1278 W,Mobile,20,126
TXN1289142632,ACC66840,ACC46222,1177.64,Transfer,17/01/2025 10:32,Success,False,34.0522 N, -118.2437 W,Desktop,14,125
TXN8741905833,ACC67128,ACC77786,1495.01,Transfer,17/01/2025 10:46,Success,True,35.6895 N, 0.1278 W,Mobile,14,203
TXN4267987212,ACC31799,ACC80677,235.44,Withdrawal,17/01/2025 10:49,Failed,True,51.5074 N, 0.1278 W,Mobile,19,216
TXN2821070438,ACC57649,ACC31216,572.09,Transfer,17/01/2025 10:07,Failed,False,35.6895 N, 0.1278 W,Mobile,19,233
TXN1672215014,ACC57995,ACC32223,513.84,Withdrawal,17/01/2025 10:25,Success,True,55.7558 N, 37.6173 W,Mobile,20,62
TXN8113502181,ACC67528,ACC13653,899.08,Deposit,17/01/2025 10:09,Failed,False,48.8566 N, 139.6917 W,Desktop,10,162
TXN9237255174,ACC54120,ACC50698,765.31,Deposit,17/01/2025 10:13,Success,True,34.0522 N, 0.1278 W,Desktop,7,184
TXN3528546769,ACC13553,ACC11678,677.07,Transfer,17/01/2025 10:39,Failed,False,51.5074 N, 0.1278 W,Desktop,20,87
TXN5396087707,ACC18004,ACC86789,1468.89,Transfer,17/01/2025 10:14,Success,False,40.7128 N, 0.1278 W,Mobile,16,238
TXN7046403704,ACC90900,ACC53471,1344.01,Withdrawal,17/01/2025 10:46,Failed,False,55.7558 N, 37.6173 W,Mobile,10,63
TXN6246207885,ACC34364,ACC98698,571.22,Transfer,17/01/2025 10:23,Success,False,55.7558 N, 37.6173 W,Desktop,15,185
TXN3337399700,ACC13343,ACC89104,1480.16,Deposit,17/01/2025 10:24,Success,False,55.7558 N, -74.006 W,Mobile,10,111
TXN5508021804,ACC93597,ACC89011,980.64,Deposit,17/01/2025 10:50,Failed,False,35.6895 N, 139.6917 W,Desktop,20,237
TXN5377295849,ACC94970,ACC40110,989.51,Withdrawal,17/01/2025 10:17,Success,True,51.5074 N, 0.1278 W,Mobile,15,66
TXN5873377008,ACC25767,ACC52947,724.95,Withdrawal,17/01/2025 10:45,Success,False,55.7558 N, 139.6917 W,Mobile,11,219
TXN6379637727,ACC88149,ACC56767,437.44,Transfer,17/01/2025 10:41,Failed,True,55.7558 N, 139.6917 W,Mobile,9,94
TXN6032073253,ACC29569,ACC67695,1149.48,Transfer,17/01/2025 10:07,Success,False,35.6895 N, -118.2437 W,Mobile,20,74
TXN4435141979,ACC29421,ACC13222,1279.44,Transfer,17/01/2025 10:49,Success,False,55.7558 N, 37.6173 W,Mobile,20,157
TXN2596037056,ACC51541,ACC16323,1240.14,Withdrawal,17/01/2025 10:20,Failed,True,40.7128 N, -74.006 W,Mobile,5,223
TXN2003291230,ACC54543,ACC59805,1303.52,Withdrawal,17/01/2025 10:56,Failed,True,55.7558 N, 37.6173 W,Mobile,18,173
TXN3688688205,ACC66486,ACC23899,526.37,Withdrawal,17/01/2025 10:53,Failed,False,55.7558 N, 37.6173 W,Mobile,19,78
TXN2239357669,ACC97992,ACC87898,1269.91,Withdrawal,17/01/2025 10:27,Failed,False,34.0522 N, 37.6173 W,Desktop,13,116
TXN5485668345,ACC46185,ACC54485,616.37,Transfer,17/01/2025 10:48,Failed,True,48.8566 N, 139.6917 W,Desktop,3,79
TXN1251635719,ACC66754,ACC83421,196.79,Transfer,17/01/2025 10:58,Success,False,51.5074 N, 139.6917 W,Mobile,5,59
TXN6762132763,ACC88711,ACC75053,252.77,Withdrawal,17/01/2025 10:03,Failed,True,48.8566 N, -74.006 W,Desktop,15,67
TXN8623160750,ACC77809,ACC75035,762.47,Withdrawal,17/01/2025 10:48,Failed,False,35.6895 N, 2.3522 W,Mobile,13,183
TXN5936318239,ACC34015,ACC98334,1349.84,Withdrawal,17/01/2025 10:52,Success,True,40.7128 N, 139.6917 W,Mobile,18,110
TXN9200557220,ACC11202,ACC23780,140.0,Transfer,17/01/2025 10:19,Failed,True,35.6895 N, 37.6173 W,Desktop,7,158
TXN6966473752,ACC90065,ACC76152,1406.15,Transfer,17/01/2025 10:56,Failed,False,40.7128 N, -74.006 W,Desktop,13,235
TXN7094903743,ACC67955,ACC99356,929.9,Transfer,17/01/2025 10:19,Success,False,55.7558 N, 37.6173 W,Mobile,16,134
TXN8282202403,ACC89596,ACC40926,315.13,Withdrawal,17/01/2025 10:46,Failed,False,35.6895 N, 0.1278 W,Mobile,13,61
